region,customer_lifetime_value,response,coverage,education,effective_to_date,month,employment_status,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size
central,10364,no,extended,master,1/9/11,jan,employed,f,58327,urban,married,129,31,5,0,3,personal auto,personal l3,offer2,branch,347,suv,medsize
central,2488,no,basic,high school or below,1/20/11,jan,employed,f,48597,urban,single,71,12,63,5,1,corporate auto,corporate l3,offer4,agent,305,four-door car,medsize
north west,5353,no,basic,high school or below,2/2/11,feb,employed,m,61894,urban,married,67,22,38,0,4,personal auto,personal l3,offer3,branch,266,four-door car,small
north west,36057,no,extended,college,2/7/11,feb,employed,m,90330,rural,single,137,3,86,0,2,corporate auto,corporate l3,offer1,call center,192,sports car,medsize
west region,4892,no,basic,high school or below,1/27/11,jan,medical leave,f,26660,suburban,married,63,23,40,0,8,personal auto,personal l2,offer3,agent,453,two-door car,medsize
east,4865,no,extended,college,1/25/11,jan,employed,f,27228,rural,married,129,19,61,4,1,personal auto,personal l3,offer4,branch,238,sports car,medsize
west region,13113,no,extended,college,2/10/11,feb,medical leave,f,28519,suburban,married,86,23,30,0,2,personal auto,personal l1,offer4,branch,412,two-door car,large
north west,16005,yes,basic,bachelor,1/11/11,jan,employed,m,44901,suburban,married,70,15,56,2,2,personal auto,personal l3,offer1,branch,460,four-door car,small
central,11236,no,basic,college,1/11/11,jan,employed,m,21636,urban,married,64,2,24,5,2,personal auto,personal l2,offer2,branch,213,two-door car,medsize
central,4371,no,basic,college,1/4/11,jan,employed,m,56718,suburban,divorced,113,7,95,1,1,personal auto,personal l3,offer1,call center,542,suv,medsize
north west,3508,yes,extended,college,1/5/11,jan,medical leave,m,20978,suburban,married,98,19,96,1,1,personal auto,personal l2,offer2,branch,1176,two-door car,medsize
north west,2791,no,basic,high school or below,2/6/11,feb,unemployed,f,18637,suburban,single,74,35,59,0,1,personal auto,personal l1,offer1,agent,532,four-door car,small
west region,7370,no,basic,bachelor,1/12/11,jan,employed,f,67871,rural,married,61,1,21,0,2,corporate auto,corporate l2,offer1,branch,10,four-door car,small
north west,4668,no,basic,high school or below,1/16/11,jan,employed,m,53252,suburban,married,117,1,76,0,1,personal auto,personal l3,offer2,web,561,suv,medsize
north west,9951,no,premium,high school or below,2/17/11,feb,employed,m,56855,suburban,single,255,12,1,0,1,corporate auto,corporate l3,offer4,web,1836,luxury suv,medsize
central,4981,no,basic,high school or below,1/26/11,jan,employed,m,33176,suburban,married,63,22,75,0,3,corporate auto,corporate l3,offer3,branch,302,four-door car,medsize
west region,4291,no,basic,high school or below,1/28/11,jan,unemployed,f,31330,suburban,single,62,1,2,1,7,corporate auto,corporate l2,offer1,agent,403,four-door car,large
north west,3339,no,extended,high school or below,1/31/11,jan,employed,f,51032,urban,married,83,5,56,0,1,personal auto,personal l1,offer4,web,349,four-door car,medsize
north west,5297,no,basic,bachelor,1/4/11,jan,employed,f,33832,suburban,married,67,22,47,1,9,corporate auto,corporate l3,offer3,branch,321,four-door car,small
north west,20067,no,premium,bachelor,2/17/11,feb,employed,f,85165,urban,single,101,8,81,0,2,personal auto,personal l2,offer1,branch,384,suv,medsize
east,4314,no,basic,high school or below,2/8/11,feb,employed,m,33488,urban,married,110,7,61,0,1,personal auto,personal l1,offer2,branch,316,suv,medsize
north west,4942,no,basic,high school or below,1/23/11,jan,employed,m,82093,urban,divorced,62,17,3,0,3,personal auto,personal l2,offer2,branch,266,four-door car,medsize
north west,5470,yes,extended,bachelor,2/17/11,feb,employed,f,54507,suburban,married,138,20,11,0,1,corporate auto,corporate l2,offer2,agent,702,suv,medsize
west region,7858,no,basic,bachelor,2/10/11,feb,employed,f,20532,urban,divorced,67,20,68,0,2,personal auto,personal l2,offer1,branch,282,four-door car,large
central,3844,no,extended,high school or below,1/22/11,jan,employed,m,26262,suburban,married,97,6,59,0,1,personal auto,personal l2,offer4,call center,465,four-door car,small
west region,4736,no,basic,high school or below,2/10/11,feb,unemployed,m,44204,suburban,single,65,30,1,0,3,personal auto,personal l3,offer1,web,585,two-door car,medsize
north west,20096,yes,basic,high school or below,1/1/11,jan,employed,f,92766,suburban,married,71,17,15,0,2,corporate auto,corporate l1,offer2,agent,379,two-door car,large
central,5050,no,basic,college,2/25/11,feb,unemployed,m,41652,rural,married,69,23,45,0,6,personal auto,personal l1,offer3,agent,72,two-door car,medsize
north west,10171,no,basic,bachelor,1/15/11,jan,employed,m,70200,suburban,divorced,65,25,10,0,2,corporate auto,corporate l3,offer2,agent,312,four-door car,medsize
west region,3371,no,basic,college,2/1/11,feb,unemployed,f,53019,suburban,single,102,2,36,3,1,personal auto,personal l2,offer1,agent,489,suv,medsize
west region,4475,no,basic,master,1/6/11,jan,employed,m,73019,suburban,divorced,112,21,40,0,1,corporate auto,corporate l3,offer1,agent,537,suv,large
central,2877,no,basic,college,1/12/11,jan,employed,m,38870,rural,divorced,74,3,89,0,1,special auto,special l1,offer1,agent,145,four-door car,small
west region,6618,no,extended,high school or below,2/7/11,feb,medical leave,f,20068,urban,married,86,8,28,0,3,corporate auto,corporate l2,offer1,web,411,four-door car,medsize
east,7700,no,basic,high school or below,1/26/11,jan,unemployed,f,59714,suburban,single,73,18,16,1,2,corporate auto,corporate l1,offer1,branch,792,four-door car,medsize
north west,3341,no,basic,college,2/10/11,feb,unemployed,m,53249,suburban,single,69,9,72,5,3,personal auto,personal l3,offer4,branch,331,two-door car,large
central,41491,no,basic,college,1/14/11,jan,employed,m,37748,suburban,married,181,21,22,2,2,personal auto,personal l2,offer1,web,868,luxury car,small
west region,2395,yes,basic,doctor,1/27/11,jan,disabled,f,21986,suburban,divorced,63,1,9,0,1,personal auto,personal l1,offer2,branch,333,two-door car,medsize
north west,7635,no,basic,college,1/8/11,jan,employed,f,54539,urban,married,63,5,74,0,2,personal auto,personal l2,offer3,agent,287,four-door car,medsize
central,10033,no,premium,bachelor,2/7/11,feb,unemployed,m,57432,suburban,single,146,5,84,0,3,corporate auto,corporate l3,offer1,call center,1404,suv,medsize
west region,8533,no,basic,college,2/28/11,feb,disabled,f,26049,suburban,married,113,10,15,1,9,personal auto,personal l1,offer1,web,619,suv,medsize
central,10793,no,extended,college,1/30/11,jan,employed,f,24195,urban,married,90,32,70,0,2,personal auto,personal l3,offer1,branch,360,two-door car,large
central,2393,no,basic,master,2/21/11,feb,employed,m,58237,urban,divorced,63,34,22,3,1,personal auto,personal l2,offer4,branch,273,two-door car,medsize
north west,5426,no,basic,high school or below,2/25/11,feb,employed,m,23105,suburban,married,69,7,21,0,3,personal auto,personal l3,offer2,agent,331,two-door car,small
central,10551,no,basic,high school or below,2/14/11,feb,employed,m,50941,suburban,single,69,17,46,0,2,personal auto,personal l2,offer4,agent,331,four-door car,small
west region,6021,no,premium,high school or below,2/25/11,feb,unemployed,f,84057,suburban,single,168,11,46,0,1,personal auto,personal l3,offer1,agent,1476,suv,medsize
north west,6521,yes,extended,college,1/9/11,jan,employed,f,72608,suburban,married,82,26,19,3,8,personal auto,personal l2,offer2,agent,393,four-door car,medsize
north west,6172,no,extended,master,1/27/11,jan,employed,m,99960,suburban,married,76,19,83,0,4,corporate auto,corporate l3,offer1,agent,364,four-door car,small
east,15626,no,extended,high school or below,2/10/11,feb,employed,f,50461,suburban,single,131,22,89,0,2,personal auto,personal l3,offer1,agent,810,sports car,large
east,27440,no,extended,high school or below,1/22/11,jan,employed,m,84306,suburban,married,137,16,37,0,2,personal auto,personal l3,offer2,agent,863,suv,large
west region,2224,no,basic,bachelor,2/12/11,feb,unemployed,f,66034,suburban,single,67,1,77,1,1,personal auto,personal l1,offer1,agent,482,two-door car,small
west region,8533,no,basic,college,2/28/11,feb,disabled,f,26049,suburban,married,113,10,15,1,9,personal auto,personal l1,offer1,web,619,suv,medsize
central,2545,no,basic,bachelor,2/1/11,feb,employed,m,29250,suburban,married,64,27,30,0,1,personal auto,personal l3,offer4,agent,308,two-door car,small
west region,4923,no,basic,bachelor,1/16/11,jan,employed,f,61469,suburban,married,63,16,65,5,3,personal auto,personal l3,offer3,branch,302,four-door car,small
north west,3585,no,extended,master,1/15/11,jan,employed,m,25748,rural,married,90,9,23,0,1,personal auto,personal l1,offer3,call center,117,four-door car,medsize
central,8183,no,premium,bachelor,2/1/11,feb,medical leave,f,24345,suburban,married,106,15,21,0,3,corporate auto,corporate l3,offer2,call center,637,four-door car,medsize
west region,4787,no,basic,college,1/30/11,jan,unemployed,f,57088,suburban,married,64,17,84,0,3,personal auto,personal l2,offer2,agent,360,four-door car,medsize
west region,3199,no,extended,high school or below,1/28/11,jan,unemployed,m,55947,suburban,single,94,6,61,0,1,personal auto,personal l3,offer1,agent,1121,two-door car,large
north west,8679,no,premium,bachelor,1/4/11,jan,employed,f,52717,rural,married,109,5,60,0,8,corporate auto,corporate l2,offer3,agent,60,four-door car,medsize
east,5635,no,basic,college,2/26/11,feb,employed,f,20303,suburban,married,71,18,84,0,3,corporate auto,corporate l3,offer1,branch,340,four-door car,small
west region,2748,no,basic,master,1/14/11,jan,employed,m,32437,suburban,married,69,4,73,0,1,corporate auto,corporate l2,offer2,branch,473,two-door car,medsize
central,9322,no,premium,high school or below,2/10/11,feb,employed,f,70435,rural,married,116,31,50,0,4,personal auto,personal l3,offer3,agent,67,four-door car,medsize
west region,9840,no,extended,master,1/23/11,jan,employed,m,94590,suburban,married,81,26,31,0,2,personal auto,personal l3,offer2,web,388,two-door car,medsize
north west,2954,no,basic,master,1/8/11,jan,employed,f,62461,rural,married,73,15,7,0,1,personal auto,personal l1,offer2,agent,129,four-door car,small
north west,7198,no,basic,bachelor,2/15/11,feb,medical leave,m,10458,suburban,single,102,11,29,0,4,corporate auto,corporate l3,offer2,call center,489,suv,medsize
central,4508,no,basic,bachelor,2/8/11,feb,employed,m,83777,urban,married,112,18,74,0,1,personal auto,personal l3,offer1,branch,377,sports car,small
central,3823,no,basic,bachelor,1/10/11,jan,unemployed,m,87469,suburban,single,108,32,95,0,1,personal auto,personal l3,offer1,agent,777,suv,medsize
central,7600,no,basic,high school or below,1/13/11,jan,unemployed,m,63908,suburban,single,110,17,58,2,3,personal auto,personal l3,offer2,branch,796,suv,medsize
east,21710,no,extended,college,2/26/11,feb,employed,m,62370,rural,married,94,4,10,2,2,corporate auto,corporate l1,offer2,call center,32,four-door car,medsize
north west,9805,no,extended,master,2/1/11,feb,employed,f,47197,rural,married,81,19,91,0,2,corporate auto,corporate l2,offer2,agent,76,four-door car,medsize
west region,2670,no,basic,bachelor,2/22/11,feb,unemployed,f,93316,suburban,single,72,18,41,0,1,corporate auto,corporate l1,offer1,web,366,four-door car,medsize
west region,3200,no,extended,bachelor,1/12/11,jan,unemployed,f,94869,suburban,married,86,8,37,0,1,corporate auto,corporate l2,offer1,branch,412,four-door car,small
north west,4558,no,basic,college,2/4/11,feb,unemployed,f,52999,suburban,single,65,24,93,0,9,personal auto,personal l3,offer1,agent,312,two-door car,medsize
west region,5219,no,basic,college,2/23/11,feb,employed,f,48203,suburban,divorced,66,20,47,0,6,personal auto,personal l2,offer4,call center,413,four-door car,medsize
north west,6172,no,extended,master,2/14/11,feb,unemployed,m,46234,suburban,divorced,84,6,93,0,7,corporate auto,corporate l3,offer1,web,403,four-door car,medsize
west region,58166,no,basic,bachelor,2/27/11,feb,employed,m,61321,rural,single,186,0,30,1,2,personal auto,personal l3,offer2,branch,427,two-door car,medsize
central,5459,no,basic,high school or below,2/22/11,feb,employed,m,83208,urban,married,68,10,93,0,4,special auto,special l2,offer2,call center,325,four-door car,small
west region,15147,no,basic,bachelor,2/16/11,feb,employed,f,41082,rural,married,63,23,94,0,2,personal auto,personal l2,offer3,web,106,two-door car,medsize
north west,4296,no,basic,college,1/27/11,jan,employed,f,61737,urban,married,107,21,65,0,1,personal auto,personal l3,offer1,branch,495,sports car,medsize
west region,2636,no,basic,college,1/29/11,jan,employed,m,31911,suburban,married,67,33,27,0,1,personal auto,personal l3,offer2,agent,321,four-door car,medsize
central,19278,no,basic,high school or below,1/5/11,jan,unemployed,f,41457,suburban,single,61,12,77,0,2,personal auto,personal l3,offer3,branch,366,two-door car,medsize
central,15306,no,premium,bachelor,2/26/11,feb,employed,m,46338,rural,married,193,24,68,0,9,corporate auto,corporate l3,offer4,web,19,suv,medsize
west region,12316,no,premium,bachelor,2/22/11,feb,unemployed,m,70306,suburban,married,167,30,40,0,5,personal auto,personal l3,offer2,branch,1985,suv,small
west region,8838,yes,basic,bachelor,1/21/11,jan,employed,m,82664,rural,married,114,24,10,3,9,corporate auto,corporate l3,offer2,agent,133,suv,medsize
east,3331,no,extended,college,2/20/11,feb,employed,m,73695,suburban,married,84,28,84,0,1,personal auto,personal l3,offer3,call center,403,four-door car,medsize
west region,5498,no,extended,bachelor,1/19/11,jan,employed,f,60668,urban,married,138,18,92,0,1,personal auto,personal l3,offer3,branch,553,suv,medsize
west region,4669,yes,premium,high school or below,2/14/11,feb,employed,f,76157,suburban,married,116,15,80,0,1,personal auto,personal l3,offer2,call center,556,two-door car,small
north west,11058,no,extended,high school or below,1/14/11,jan,employed,f,69792,suburban,single,137,1,95,0,3,personal auto,personal l3,offer2,web,696,suv,medsize
north west,2767,no,basic,high school or below,1/30/11,jan,unemployed,f,63020,suburban,married,74,0,52,0,1,personal auto,personal l3,offer1,call center,355,four-door car,small
central,9575,no,extended,college,2/6/11,feb,unemployed,f,12701,suburban,single,88,3,64,0,2,personal auto,personal l3,offer4,web,633,four-door car,medsize
central,23228,no,premium,college,2/15/11,feb,employed,f,53243,suburban,single,102,1,96,1,2,personal auto,personal l3,offer1,agent,489,four-door car,small
central,2359,yes,basic,bachelor,1/11/11,jan,disabled,f,19864,suburban,divorced,63,22,96,0,1,personal auto,personal l3,offer1,web,352,four-door car,medsize
central,12379,no,basic,bachelor,1/15/11,jan,employed,m,39886,urban,married,64,34,59,1,2,personal auto,personal l3,offer3,web,290,two-door car,medsize
north west,6005,yes,extended,college,2/23/11,feb,retired,m,13528,suburban,single,86,21,35,0,3,personal auto,personal l3,offer1,agent,412,four-door car,medsize
central,4549,no,basic,high school or below,1/10/11,jan,unemployed,f,47598,suburban,married,62,12,53,0,3,personal auto,personal l3,offer2,call center,639,two-door car,medsize
central,8712,no,extended,master,1/21/11,jan,employed,f,68516,rural,married,216,17,0,0,1,corporate auto,corporate l2,offer2,branch,95,luxury suv,medsize
west region,2540,no,basic,doctor,1/16/11,jan,employed,m,70125,rural,single,64,21,77,0,1,special auto,special l2,offer2,branch,92,four-door car,medsize
west region,7577,no,basic,bachelor,2/6/11,feb,unemployed,m,18557,suburban,single,116,20,9,2,6,personal auto,personal l3,offer2,branch,835,sports car,medsize
west region,12779,no,extended,high school or below,1/6/11,jan,unemployed,m,47240,suburban,single,88,16,8,0,2,special auto,special l3,offer2,agent,633,four-door car,medsize
central,7256,no,premium,master,2/25/11,feb,employed,f,29053,rural,married,181,34,52,0,1,personal auto,personal l3,offer3,web,404,sports car,small
north west,7639,no,basic,master,1/23/11,jan,employed,m,34075,rural,single,196,8,87,0,1,special auto,special l2,offer3,agent,451,luxury suv,small
central,8329,no,basic,college,1/23/11,jan,unemployed,f,83560,suburban,single,118,18,9,0,3,personal auto,personal l1,offer1,agent,849,suv,medsize
central,10569,no,extended,bachelor,2/1/11,feb,employed,m,45776,rural,married,89,2,17,0,2,personal auto,personal l2,offer1,agent,95,four-door car,medsize
west region,2730,no,basic,bachelor,2/25/11,feb,employed,m,46135,rural,married,69,12,68,0,1,personal auto,personal l3,offer1,agent,103,four-door car,medsize
north west,6880,no,basic,high school or below,1/13/11,jan,unemployed,m,52754,suburban,single,66,24,48,0,2,corporate auto,corporate l3,offer1,web,475,four-door car,small
central,5460,no,basic,bachelor,1/10/11,jan,employed,m,45404,urban,married,70,13,11,2,6,corporate auto,corporate l3,offer4,web,266,two-door car,medsize
central,2867,yes,extended,bachelor,1/3/11,jan,retired,f,23376,suburban,divorced,78,19,18,0,1,personal auto,personal l1,offer2,call center,374,four-door car,medsize
west region,12280,yes,premium,college,1/1/11,jan,employed,m,88340,suburban,married,102,16,1,0,2,personal auto,personal l2,offer1,branch,489,two-door car,medsize
north west,8845,no,basic,college,1/20/11,jan,employed,f,77077,urban,single,112,11,51,0,7,personal auto,personal l2,offer2,call center,528,suv,medsize
west region,2674,yes,basic,college,2/15/11,feb,employed,m,56342,suburban,single,69,34,89,0,1,personal auto,personal l2,offer2,call center,331,four-door car,small
east,8093,no,basic,high school or below,2/13/11,feb,employed,m,59839,suburban,single,107,8,52,2,8,personal auto,personal l2,offer2,agent,513,suv,medsize
east,3402,no,extended,bachelor,1/28/11,jan,employed,m,57428,suburban,married,85,34,40,1,1,corporate auto,corporate l3,offer1,call center,414,four-door car,medsize
north west,4474,no,basic,high school or below,2/22/11,feb,employed,m,84927,suburban,married,112,27,83,0,1,personal auto,personal l2,offer2,call center,537,suv,small
west region,4692,no,basic,college,1/3/11,jan,unemployed,m,21349,suburban,single,69,31,89,0,5,personal auto,personal l2,offer1,agent,506,four-door car,large
north west,9035,yes,premium,high school or below,1/21/11,jan,employed,f,34337,suburban,married,113,20,44,0,9,corporate auto,corporate l1,offer2,web,542,four-door car,large
central,14002,no,basic,college,2/22/11,feb,employed,m,67627,suburban,married,117,5,43,0,2,corporate auto,corporate l2,offer4,call center,561,suv,medsize
north west,7155,no,basic,college,2/28/11,feb,disabled,m,16916,suburban,married,64,31,31,0,2,personal auto,personal l2,offer3,agent,377,four-door car,medsize
north west,8007,yes,basic,high school or below,1/2/11,jan,unemployed,f,45549,suburban,divorced,112,12,93,0,3,personal auto,personal l2,offer1,web,537,sports car,medsize
west region,15114,yes,basic,high school or below,1/19/11,jan,medical leave,f,28513,suburban,married,100,4,22,1,2,personal auto,personal l2,offer2,call center,480,suv,medsize
central,7486,no,basic,bachelor,2/16/11,feb,unemployed,f,23349,suburban,divorced,71,14,62,0,2,corporate auto,corporate l1,offer3,call center,340,four-door car,medsize
north west,2596,no,basic,high school or below,2/9/11,feb,unemployed,f,28706,suburban,single,72,3,65,0,1,personal auto,personal l3,offer1,agent,345,two-door car,medsize
central,12231,no,basic,high school or below,2/8/11,feb,employed,m,43244,suburban,married,103,15,16,0,2,personal auto,personal l2,offer4,agent,494,sports car,medsize
central,13494,no,extended,college,1/26/11,jan,unemployed,f,11329,suburban,single,132,13,33,0,2,personal auto,personal l2,offer3,branch,950,suv,medsize
east,16525,no,basic,high school or below,1/17/11,jan,employed,m,24414,suburban,married,104,18,80,0,2,personal auto,personal l1,offer2,call center,499,suv,medsize
north west,2551,no,basic,bachelor,2/1/11,feb,employed,m,88126,rural,married,64,27,71,1,1,personal auto,personal l1,offer2,branch,151,four-door car,medsize
north west,10529,no,extended,bachelor,1/18/11,jan,employed,f,37518,urban,married,131,35,91,0,6,special auto,special l3,offer1,branch,472,sports car,medsize
north west,5608,no,basic,college,2/10/11,feb,disabled,f,20392,suburban,married,73,23,85,0,9,personal auto,personal l1,offer2,branch,350,four-door car,medsize
west region,6005,yes,extended,college,2/23/11,feb,retired,m,13528,suburban,single,86,6,35,0,3,personal auto,personal l3,offer1,agent,412,four-door car,medsize
east,21404,no,basic,bachelor,2/28/11,feb,unemployed,f,37988,suburban,single,69,35,79,0,2,personal auto,personal l3,offer1,branch,496,four-door car,medsize
north west,23187,no,basic,college,2/2/11,feb,employed,m,58466,suburban,married,66,7,79,1,2,personal auto,personal l3,offer4,branch,316,four-door car,medsize
north west,6617,no,basic,bachelor,1/14/11,jan,unemployed,m,78991,suburban,single,195,20,61,0,1,personal auto,personal l3,offer3,branch,1404,luxury suv,medsize
west region,4145,no,basic,high school or below,1/2/11,jan,unemployed,m,44370,suburban,divorced,118,12,88,0,1,corporate auto,corporate l3,offer1,call center,566,suv,medsize
west region,41787,yes,premium,high school or below,1/31/11,jan,employed,f,46587,suburban,divorced,119,34,74,2,2,personal auto,personal l3,offer1,call center,571,four-door car,medsize
north west,2505,no,basic,master,2/14/11,feb,employed,f,60546,rural,single,63,21,71,0,1,personal auto,personal l3,offer2,branch,46,four-door car,medsize
west region,18938,no,basic,college,1/10/11,jan,employed,f,91535,rural,married,67,35,13,1,2,personal auto,personal l3,offer1,agent,126,four-door car,large
central,2772,no,basic,college,2/20/11,feb,employed,m,30606,urban,married,71,11,7,0,1,personal auto,personal l3,offer2,branch,253,two-door car,medsize
central,9816,yes,basic,college,1/28/11,jan,employed,m,37256,rural,married,62,15,7,0,2,personal auto,personal l3,offer1,branch,128,four-door car,medsize
central,5632,no,extended,bachelor,1/20/11,jan,employed,f,51721,urban,married,139,18,98,0,1,personal auto,personal l2,offer2,agent,625,suv,medsize
west region,3362,no,premium,bachelor,2/15/11,feb,unemployed,m,65244,suburban,single,107,9,96,2,1,personal auto,personal l2,offer1,agent,770,four-door car,small
central,10719,no,extended,college,2/25/11,feb,employed,f,86036,suburban,divorced,90,8,20,3,2,personal auto,personal l3,offer1,web,501,four-door car,medsize
west region,6514,no,basic,high school or below,2/14/11,feb,unemployed,m,75999,suburban,married,61,12,75,1,2,personal auto,personal l3,offer2,agent,292,four-door car,small
central,4196,no,basic,high school or below,2/15/11,feb,unemployed,m,78114,suburban,single,64,35,75,1,7,personal auto,personal l1,offer3,call center,774,four-door car,small
central,11320,no,premium,college,1/7/11,jan,employed,m,41692,rural,single,101,21,15,1,2,corporate auto,corporate l3,offer3,call center,245,four-door car,medsize
central,5116,no,basic,high school or below,2/17/11,feb,employed,f,26173,suburban,single,68,2,10,1,9,corporate auto,corporate l1,offer2,web,449,four-door car,medsize
west region,2722,yes,basic,college,2/2/11,feb,medical leave,f,17576,suburban,married,71,29,70,0,1,special auto,special l2,offer2,call center,398,four-door car,medsize
north west,4650,yes,basic,college,1/10/11,jan,retired,m,28215,suburban,single,65,15,26,0,3,personal auto,personal l3,offer1,agent,468,two-door car,medsize
west region,2866,no,basic,high school or below,2/13/11,feb,employed,f,87428,urban,divorced,72,27,42,0,1,personal auto,personal l3,offer2,agent,224,four-door car,medsize
central,9100,no,basic,high school or below,2/11/11,feb,employed,f,59183,suburban,married,113,11,91,0,5,personal auto,personal l2,offer3,agent,542,suv,medsize
west region,20930,no,basic,college,1/14/11,jan,employed,f,30535,rural,married,66,22,18,0,2,personal auto,personal l3,offer2,call center,94,four-door car,small
west region,26232,no,basic,bachelor,1/15/11,jan,employed,f,35868,suburban,single,110,20,51,0,2,personal auto,personal l3,offer2,branch,528,suv,medsize
west region,3961,no,basic,high school or below,1/30/11,jan,unemployed,f,24686,rural,single,118,6,34,1,1,corporate auto,corporate l2,offer2,agent,264,suv,medsize
north west,3975,no,premium,doctor,2/8/11,feb,employed,f,67895,urban,married,101,25,27,4,1,personal auto,personal l3,offer2,call center,403,four-door car,medsize
north west,9415,no,premium,college,1/25/11,jan,employed,f,55338,suburban,married,116,25,54,0,7,corporate auto,corporate l3,offer2,branch,556,two-door car,medsize
west region,15002,no,extended,high school or below,1/19/11,jan,disabled,f,19245,suburban,single,84,5,61,1,2,personal auto,personal l3,offer2,agent,604,four-door car,small
central,6715,no,extended,high school or below,2/19/11,feb,unemployed,m,67307,suburban,married,92,4,64,0,9,personal auto,personal l3,offer2,web,441,two-door car,medsize
north west,14191,no,basic,doctor,2/14/11,feb,employed,f,25575,suburban,married,117,10,41,0,2,personal auto,personal l2,offer3,branch,561,suv,medsize
central,6846,yes,extended,bachelor,1/27/11,jan,unemployed,f,23013,suburban,divorced,95,13,20,0,5,personal auto,personal l3,offer1,call center,456,two-door car,large
west region,10628,no,extended,bachelor,2/18/11,feb,employed,m,90874,urban,married,137,18,28,4,3,personal auto,personal l3,offer1,call center,459,four-door car,medsize
west region,4571,no,basic,master,2/1/11,feb,employed,m,79453,rural,single,115,11,47,0,1,personal auto,personal l2,offer2,agent,242,four-door car,small
central,7595,no,basic,high school or below,1/8/11,jan,retired,m,20538,suburban,divorced,104,25,64,0,7,personal auto,personal l1,offer1,agent,499,suv,small
west region,8098,no,basic,college,1/18/11,jan,unemployed,f,65831,suburban,divorced,72,15,45,0,2,personal auto,personal l3,offer3,call center,518,four-door car,medsize
west region,17995,no,extended,high school or below,1/18/11,jan,employed,f,80991,urban,married,223,5,56,0,4,personal auto,personal l3,offer4,branch,937,luxury suv,medsize
west region,3644,yes,extended,high school or below,1/15/11,jan,employed,f,82477,suburban,married,90,1,69,0,1,personal auto,personal l3,offer2,agent,432,two-door car,large
central,16107,no,basic,high school or below,1/16/11,jan,employed,f,63288,urban,married,199,12,92,0,5,personal auto,personal l1,offer1,web,558,luxury car,medsize
east,4900,no,basic,bachelor,2/27/11,feb,unemployed,f,29774,suburban,married,66,15,75,0,4,personal auto,personal l3,offer2,agent,316,four-door car,small
east,4082,no,basic,high school or below,1/8/11,jan,employed,m,57506,suburban,married,102,24,43,0,1,personal auto,personal l1,offer4,agent,615,sports car,small
central,2801,no,basic,college,2/18/11,feb,employed,m,33247,urban,married,72,26,47,0,1,special auto,special l3,offer2,web,284,four-door car,medsize
west region,13117,no,basic,high school or below,2/7/11,feb,employed,f,84311,suburban,single,111,11,98,4,2,personal auto,personal l3,offer3,call center,532,suv,large
north west,6650,no,extended,bachelor,2/27/11,feb,unemployed,f,44264,suburban,single,99,16,65,2,3,personal auto,personal l1,offer2,branch,712,four-door car,small
east,2693,no,basic,master,1/15/11,jan,employed,f,63684,suburban,single,68,6,87,0,1,personal auto,personal l3,offer2,agent,343,two-door car,medsize
west region,4572,no,basic,bachelor,1/19/11,jan,unemployed,m,96463,suburban,married,67,19,82,1,3,personal auto,personal l2,offer1,agent,357,two-door car,small
north west,8513,no,basic,bachelor,1/16/11,jan,employed,f,34505,urban,married,106,13,44,0,9,personal auto,personal l3,offer1,branch,359,suv,small
central,6047,yes,extended,college,2/19/11,feb,employed,m,20396,suburban,married,76,15,60,1,4,corporate auto,corporate l2,offer1,branch,364,four-door car,medsize
north west,2425,no,basic,college,2/8/11,feb,employed,m,66841,rural,divorced,62,4,73,0,1,personal auto,personal l3,offer4,call center,123,four-door car,medsize
central,6227,no,extended,college,2/4/11,feb,unemployed,m,61222,suburban,single,94,11,21,0,9,personal auto,personal l2,offer3,agent,676,four-door car,small
west region,2405,no,basic,college,2/19/11,feb,employed,m,63032,suburban,married,61,5,79,0,1,personal auto,personal l3,offer2,agent,404,four-door car,medsize
east,16069,no,extended,bachelor,1/12/11,jan,employed,m,60735,urban,married,135,11,59,0,2,personal auto,personal l3,offer3,branch,571,suv,medsize
north west,16152,no,basic,college,2/21/11,feb,unemployed,m,82396,suburban,divorced,109,12,66,0,2,personal auto,personal l3,offer1,agent,852,sports car,large
north west,3238,no,extended,master,1/2/11,jan,employed,f,68745,suburban,married,80,5,42,0,1,personal auto,personal l3,offer4,branch,473,four-door car,medsize
west region,13277,no,basic,bachelor,1/10/11,jan,employed,m,96402,urban,married,110,29,41,0,2,personal auto,personal l3,offer3,agent,379,suv,medsize
north west,8337,no,basic,high school or below,2/16/11,feb,employed,f,74460,suburban,married,69,3,25,0,2,corporate auto,corporate l2,offer4,web,331,two-door car,medsize
west region,12731,yes,basic,doctor,1/14/11,jan,employed,m,40870,suburban,married,105,3,56,0,2,corporate auto,corporate l3,offer1,agent,504,four-door car,small
west region,2621,no,basic,college,2/20/11,feb,employed,f,36843,suburban,married,68,12,11,3,1,corporate auto,corporate l1,offer4,agent,357,four-door car,medsize
west region,12919,no,basic,college,1/23/11,jan,employed,m,58236,rural,married,108,22,92,0,2,corporate auto,corporate l2,offer1,agent,67,suv,small
central,2562,no,basic,high school or below,2/19/11,feb,unemployed,m,74372,suburban,single,74,17,59,0,1,corporate auto,corporate l2,offer1,agent,663,four-door car,large
